2013-05-05 15:11:03 status half-configured base-files:armhf 6.12ubuntu2
2013-05-05 15:11:03 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:11:03 status half-installed base-files:armhf 6.12ubuntu2
2013-05-05 15:11:03 status half-installed base-files:armhf 6.12ubuntu2
2013-05-05 15:11:03 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:11:03 status unpacked base-files:armhf 6.12ubuntu2
2013-05-05 15:11:03 upgrade base-passwd:armhf 3.5.26 3.5.26
2013-05-05 15:11:03 status half-configured base-passwd:armhf 3.5.26
2013-05-05 15:11:03 status unpacked base-passwd:armhf 3.5.26
2013-05-05 15:11:03 status half-installed base-passwd:armhf 3.5.26
2013-05-05 15:11:04 status half-installed base-passwd:armhf 3.5.26
2013-05-05 15:11:04 status unpacked base-passwd:armhf 3.5.26
2013-05-05 15:11:04 status unpacked base-passwd:armhf 3.5.26
2013-05-05 15:11:04 install bash:armhf <none> 4.2-5ubuntu3
2013-05-05 15:11:04 status half-installed bash:armhf 4.2-5ubuntu3
2013-05-05 15:11:05 status unpacked bash:armhf 4.2-5ubuntu3
2013-05-05 15:11:05 status unpacked bash:armhf 4.2-5ubuntu3
2013-05-05 15:11:07 install bsdutils:armhf <none> 1:2.20.1-5.1ubuntu8
2013-05-05 15:11:07 status half-installed bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-05-05 15:11:09 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-05-05 15:11:09 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-05-05 15:11:10 install busybox-initramfs:armhf <none> 1:1.20.0-8ubuntu1
2013-05-05 15:11:10 status half-installed busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-05-05 15:11:10 status unpacked busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-05-05 15:11:11 status unpacked busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-05-05 15:11:11 install coreutils:armhf <none> 8.20-3ubuntu5
2013-05-05 15:11:11 status half-installed coreutils:armhf 8.20-3ubuntu5
2013-05-05 15:11:12 status unpacked coreutils:armhf 8.20-3ubuntu5
2013-05-05 15:11:12 status unpacked coreutils:armhf 8.20-3ubuntu5
2013-05-05 15:11:13 install cpio:armhf <none> 2.11+dfsg-0.1ubuntu1
2013-05-05 15:11:13 status half-installed cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-05-05 15:11:13 status unpacked cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-05-05 15:11:13 status unpacked cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-05-05 15:11:13 install dash:armhf <none> 0.5.7-3ubuntu1
2013-05-05 15:11:13 status half-installed dash:armhf 0.5.7-3ubuntu1
2013-05-05 15:11:14 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-05-05 15:11:14 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-05-05 15:11:14 upgrade debconf:all 1.5.49ubuntu1 1.5.49ubuntu1
2013-05-05 15:11:14 status half-configured debconf:all 1.5.49ubuntu1
2013-05-05 15:11:14 status unpacked debconf:all 1.5.49ubuntu1
2013-05-05 15:11:15 status half-installed debconf:all 1.5.49ubuntu1
2013-05-05 15:11:15 status half-installed debconf:all 1.5.49ubuntu1
2013-05-05 15:11:15 status unpacked debconf:all 1.5.49ubuntu1
2013-05-05 15:11:15 status unpacked debconf:all 1.5.49ubuntu1
2013-05-05 15:11:16 install debianutils:armhf <none> 4.3.4
2013-05-05 15:11:16 status half-installed debianutils:armhf 4.3.4
2013-05-05 15:11:17 status unpacked debianutils:armhf 4.3.4
2013-05-05 15:11:17 status unpacked debianutils:armhf 4.3.4
2013-05-05 15:11:17 install diffutils:armhf <none> 1:3.2-8
2013-05-05 15:11:17 status half-installed diffutils:armhf 1:3.2-8
2013-05-05 15:11:18 status unpacked diffutils:armhf 1:3.2-8
2013-05-05 15:11:18 status unpacked diffutils:armhf 1:3.2-8
2013-05-05 15:11:19 upgrade dpkg:armhf 1.16.10ubuntu1 1.16.10ubuntu1
2013-05-05 15:11:19 status half-configured dpkg:armhf 1.16.10ubuntu1
2013-05-05 15:11:19 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-05-05 15:11:19 status half-installed dpkg:armhf 1.16.10ubuntu1
2013-05-05 15:11:20 status half-installed dpkg:armhf 1.16.10ubuntu1
2013-05-05 15:11:20 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-05-05 15:11:20 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-05-05 15:11:20 install e2fslibs:armhf <none> 1.42.5-1ubuntu4
2013-05-05 15:11:20 status half-installed e2fslibs:armhf 1.42.5-1ubuntu4
2013-05-05 15:11:21 status unpacked e2fslibs:armhf 1.42.5-1ubuntu4
2013-05-05 15:11:21 status unpacked e2fslibs:armhf 1.42.5-1ubuntu4
